Iteration,Cenary,Initial State,Objective,Generated vertices amount,Visited vertices amount,Cost,Path
24,1,(29 20),(9 18),485,454,220,(29 20) (28 20) (27 20) (26 20) (25 20) (24 20) (23 20) (22 20) (21 20) (20 20) (19 20) (18 20) (17 20) (16 20) (15 20) (14 20) (13 20) (12 20) (11 20) (11 19) (10 19) (10 18) (9 18) 
24,2,(29 20),(9 18),561,532,320,(29 20) (29 19) (29 18) (28 18) (27 18) (26 18) (25 18) (24 18) (23 18) (22 18) (21 18) (20 18) (19 18) (18 18) (17 18) (16 18) (15 18) (14 18) (13 18) (12 18) (11 18) (10 18) (9 18) 
24,3,(29 20),(9 18),728,691,265,(29 20) (29 19) (28 19) (27 19) (26 19) (25 19) (24 19) (23 19) (22 19) (21 19) (20 19) (20 18) (19 18) (18 18) (17 18) (16 18) (15 18) (14 18) (13 18) (12 18) (11 18) (10 18) (9 18) 
24,4,(29 20),(9 18),661,625,210,(29 20) (29 19) (28 19) (27 19) (26 19) (25 19) (24 19) (23 19) (22 19) (21 19) (20 19) (19 19) (18 19) (17 19) (16 19) (15 19) (14 19) (13 19) (12 19) (11 19) (10 19) (10 18) (9 18) 
25,1,(13 6),(17 27),774,747,250,(13 6) (13 7) (13 8) (13 9) (14 9) (14 10) (14 11) (14 12) (15 12) (16 12) (16 13) (16 14) (16 15) (16 16) (16 17) (16 18) (16 19) (16 20) (16 21) (16 22) (16 23) (16 24) (16 25) (16 26) (16 27) (17 27) 
25,2,(13 6),(17 27),696,653,270,(13 6) (13 7) (13 8) (13 9) (13 10) (13 11) (13 12) (13 13) (13 14) (13 15) (13 16) (13 17) (13 18) (13 19) (13 20) (13 21) (13 22) (13 23) (13 24) (13 25) (13 26) (13 27) (14 27) (15 27) (16 27) (17 27) 
25,3,(13 6),(17 27),988,944,250,(13 6) (13 7) (13 8) (13 9) (13 10) (13 11) (14 11) (14 12) (14 13) (14 14) (14 15) (14 16) (15 16) (15 17) (15 18) (15 19) (15 20) (15 21) (16 21) (16 22) (16 23) (16 24) (16 25) (16 26) (17 26) (17 27) 
25,4,(13 6),(17 27),940,910,232,(13 6) (13 7) (13 8) (13 9) (13 10) (13 11) (13 12) (13 13) (13 14) (13 15) (14 15) (15 15) (16 15) (16 16) (16 17) (16 18) (16 19) (16 20) (16 21) (16 22) (16 23) (16 24) (17 24) (17 25) (17 26) (17 27) 
26,1,(29 25),(2 7),922,912,450,(29 25) (28 25) (27 25) (26 25) (25 25) (24 25) (23 25) (22 25) (21 25) (20 25) (19 25) (18 25) (17 25) (16 25) (16 24) (16 23) (15 23) (14 23) (14 22) (13 22) (13 21) (13 20) (12 20) (11 20) (10 20) (9 20) (9 19) (9 18) (8 18) (7 18) (6 18) (5 18) (5 17) (5 16) (5 15) (5 14) (5 13) (5 12) (5 11) (5 10) (5 9) (4 9) (3 9) (3 8) (3 7) (2 7) 
26,2,(29 25),(2 7),927,919,585,(29 25) (29 24) (29 23) (29 22) (29 21) (29 20) (29 19) (29 18) (29 17) (29 16) (29 15) (29 14) (29 13) (29 12) (29 11) (29 10) (29 9) (29 8) (29 7) (28 7) (27 7) (26 7) (25 7) (24 7) (23 7) (22 7) (21 7) (20 7) (19 7) (18 7) (17 7) (16 7) (15 7) (14 7) (13 7) (12 7) (11 7) (10 7) (9 7) (8 7) (7 7) (6 7) (5 7) (4 7) (3 7) (2 7) 
