Iteration,Algorithm,Cenary,Initial State,Objective,Generated vertices amount,Visited vertices amount,Cost,Path
9,4,1,(2 8),(1 28),81,31,205,(2 8) (2 9) (2 10) (2 11) (2 12) (2 13) (2 14) (2 15) (2 16) (2 17) (2 18) (1 18) (1 19) (1 20) (1 21) (1 22) (1 23) (1 24) (1 25) (1 26) (1 27) (1 28) 
9,4,2,(2 8),(1 28),64,23,209,(2 8) (2 9) (2 10) (2 11) (2 12) (2 13) (2 14) (1 14) (1 15) (1 16) (1 17) (1 18) (1 19) (1 20) (1 21) (1 22) (1 23) (1 24) (1 25) (1 26) (1 27) (1 28) 
10,1,1,(7 0),(13 4),46,32,100,(7 0) (8 0) (9 0) (10 0) (10 1) (11 1) (11 2) (11 3) (12 3) (12 4) (13 4) 
10,1,2,(7 0),(13 4),55,34,100,(7 0) (8 0) (9 0) (9 1) (10 1) (11 1) (11 2) (12 2) (13 2) (13 3) (13 4) 
10,2,1,(7 0),(13 4),64,48,130,(7 0) (7 1) (8 1) (8 2) (9 2) (10 2) (10 3) (11 3) (12 3) (12 4) (13 4) 
10,2,2,(7 0),(13 4),57,42,130,(7 0) (7 1) (7 2) (7 3) (7 4) (8 4) (9 4) (10 4) (11 4) (12 4) (13 4) 
10,3,1,(7 0),(13 4),59,44,109,(7 0) (7 1) (7 2) (7 3) (8 3) (9 3) (10 3) (11 3) (12 3) (13 3) (13 4) 
10,3,2,(7 0),(13 4),55,29,109,(7 0) (7 1) (7 2) (7 3) (8 3) (9 3) (10 3) (11 3) (12 3) (13 3) (13 4) 
10,4,1,(7 0),(13 4),42,28,97,(7 0) (7 1) (7 2) (7 3) (8 3) (9 3) (10 3) (11 3) (12 3) (13 3) (13 4) 
10,4,2,(7 0),(13 4),29,11,91,(7 0) (7 1) (7 2) (7 3) (7 4) (8 4) (9 4) (10 4) (11 4) (12 4) (13 4) 
11,1,1,(9 19),(7 7),65,36,140,(9 19) (9 18) (9 17) (9 16) (9 15) (9 14) (9 13) (9 12) (9 11) (9 10) (9 9) (8 9) (8 8) (7 8) (7 7) 
11,1,2,(9 19),(7 7),64,36,140,(9 19) (9 18) (9 17) (9 16) (9 15) (8 15) (7 15) (7 14) (7 13) (7 12) (7 11) (7 10) (7 9) (7 8) (7 7) 
11,2,1,(9 19),(7 7),68,39,150,(9 19) (9 18) (9 17) (9 16) (9 15) (9 14) (9 13) (9 12) (9 11) (9 10) (9 9) (9 8) (8 8) (8 7) (7 7) 
11,2,2,(9 19),(7 7),60,32,150,(9 19) (9 18) (9 17) (9 16) (9 15) (9 14) (9 13) (9 12) (9 11) (9 10) (9 9) (9 8) (9 7) (8 7) (7 7) 
11,3,1,(9 19),(7 7),78,45,140,(9 19) (9 18) (9 17) (9 16) (9 15) (9 14) (8 14) (8 13) (8 12) (8 11) (8 10) (8 9) (7 9) (7 8) (7 7) 
11,3,2,(9 19),(7 7),51,24,140,(9 19) (9 18) (9 17) (9 16) (9 15) (9 14) (8 14) (8 13) (8 12) (8 11) (8 10) (8 9) (7 9) (7 8) (7 7) 
11,4,1,(9 19),(7 7),50,24,131,(9 19) (9 18) (9 17) (9 16) (9 15) (9 14) (9 13) (9 12) (9 11) (9 10) (9 9) (8 9) (7 9) (7 8) (7 7) 
11,4,2,(9 19),(7 7),41,15,139,(9 19) (9 18) (9 17) (9 16) (9 15) (9 14) (8 14) (7 14) (7 13) (7 12) (7 11) (7 10) (7 9) (7 8) (7 7) 
12,1,1,(26 5),(16 13),160,121,180,(26 5) (25 5) (24 5) (23 5) (23 6) (22 6) (22 7) (21 7) (21 8) (20 8) (20 9) (19 9) (19 10) (18 10) (18 11) (18 12) (17 12) (17 13) (16 13) 
12,1,2,(26 5),(16 13),119,71,180,(26 5) (25 5) (25 6) (24 6) (24 7) (24 8) (24 9) (24 10) (24 11) (23 11) (22 11) (21 11) (20 11) (20 12) (19 12) (18 12) (17 12) (17 13) (16 13) 
